theta_ma20,bb_floor,regime_on,sent_required,persistence,n_trades,coverage_daily,win_rate,avg_ret_10d,sharpe_like,max_dd_like
1.01,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
