date,symbol,f10_T,a1_prev,sent7d,outcome_date,a1_outcome
20251128,SNDX,20.435630704274537,19.87,0.1,20251212,20.37
20251128,LW,61.27621676640053,59.61,0.08,20251212,59.66
20251128,PAR,35.014947064332304,34.08,,20251212,36.89
20251128,VERA,34.20421231409025,33.33,0.2,20251212,49.8
20251128,SHOP,163.4520873875018,159.34,0.17,20251212,164.19
20251128,AHL,37.921751361089505,36.97,,20251212,37.02
20251128,ZM,86.5290680703481,84.43,0.22,20251212,89.52
20251128,KOP,30.321954110105484,29.6201344537815,,20251212,29.01
20251128,INSW,54.28425239281917,53.09,,20251212,48.55
20251128,KO,74.5097112347423,72.88,0.15,20251212,70.52
20251128,ARDT,9.251528943985017,9.05,0.16,20251212,8.79
20251128,BMRN,56.59298058760973,55.52,0.06,20251212,53.31
20251128,IMVT,24.15305669751274,23.7,,20251212,26.42
20251128,CAL,12.020853637243853,11.8,,20251212,13.2302621722846
20251128,QUAD,5.794598736527991,5.69,0.17,20251212,6.42
20251128,FLOC,17.056741162838684,16.75,,20251212,18.62
20251128,ENOV,30.85599926985286,30.31,,20251212,26.47
20251128,ALK,43.254767543372324,42.51,,20251212,51.4
20251128,IMCR,40.83029007476072,40.13,,20251212,36.8
20251128,RCI,39.804492031872506,39.15,0.04,20251212,36.22
20251128,AMRK,27.714161203790418,27.27,,20251212,
20251128,IMXI,15.379033189949366,15.16,,20251212,15.44
20251128,GDYN,8.772144807225283,8.67,,20251212,9.69
20251128,AHCO,9.722880747924634,9.61,0.28,20251212,10.4
20251128,WMT,110.33336546245297,109.1,0.17,20251212,116.7
20251128,CON,21.0631232837574,20.83,,20251212,19.87
20251128,IDYA,36.27876351169029,35.88,,20251212,34.02
20251128,VCEL,40.80127807495119,40.37,,20251212,36.54
20251128,PEP,149.53670017142585,147.98,0.19,20251212,150.65
20251128,ZTS,129.0071465532293,127.69,0.07,20251212,118.66
20251128,DDOG,160.01069784606594,158.4,0.19,20251212,146.0
20251128,KNF,74.77200687290679,74.03,,20251212,77.29
20251128,KRO,5.150612291868383,5.1,,20251212,5.11
20251128,MATV,12.718782144474442,12.5991262907069,,20251212,12.62
20251128,ATR,124.96396025459914,123.81,,20251212,121.47
20251128,LFST,6.619507785590704,6.56,,20251212,6.91
20251128,AMZN,231.1191558070507,229.16,0.25,20251212,226.19
20251128,SLGN,39.88281416167997,39.55,0.0,20251212,40.04
20251128,SPB,60.11465103728513,59.63,,20251212,61.33
20251128,DAR,36.892937810510944,36.6,,20251212,36.61
20251128,HBM,16.719138029555086,16.59,0.11,20251212,18.68
20251128,MAX,12.847543689782702,12.75,0.42,20251212,13.0
20251128,DVN,36.67299963492643,36.4,0.32,20251212,37.2726833287558
20251128,NESR,14.104291995365152,14.0,,20251212,14.89
20251128,HRTG,28.83103792003302,28.62,0.55,20251212,29.08
20251128,CHMI,2.375797169886192,2.36,,20251212,2.44415094339623
20251128,UAL,102.25286765289441,101.59,0.23,20251212,106.84
20251128,CTRA,26.56085482770115,26.39,0.31,20251212,26.27
20251128,SPNT,21.054843653275345,20.93,,20251212,22.45
20251128,AII,21.11300320629831,20.99,,20251212,20.25
20251128,ITGR,72.4332421707592,72.04,,20251212,72.72
20251128,SLVM,48.07901319026682,47.86,,20251212,50.14
20251128,HQY,105.46054094379454,104.99,0.26,20251212,96.79
20251128,UPWK,19.66343359629212,19.58,0.32,20251212,21.95
20251128,CLS,333.52708591927114,332.24,0.34,20251212,306.5
20251128,DHR,229.2495517531468,228.46,0.24,20251212,226.015979882067
20251128,AAPL,278.46785336740686,277.55,0.2,20251212,278.28
20251128,TBLA,4.112269646513547,4.1,,20251212,4.05
20251128,TWLO,127.34833550261108,127.01,,20251212,132.92
20251128,SBUX,86.92913564864051,86.7,0.17,20251212,85.35
20251128,PRU,108.22950302376152,107.97,0.18,20251212,116.96
20251128,PACS,32.23699203187251,32.16,,20251212,34.79
20251128,NRDS,15.094048269075094,15.06,,20251212,14.44
20251128,ZBH,97.72944358026064,97.55,0.21,20251212,91.3485235636603
20251128,XPO,141.94134466119584,141.73,,20251212,149.06
20251128,MRVL,87.79208417326709,87.72,0.1,20251212,84.425
20251128,W,112.59447746861161,112.55,0.22,20251212,97.31
20251128,UHS,244.2195696100062,244.18,0.31,20251212,222.6
20251128,AVGO,397.45957318137806,397.57,0.21,20251212,359.246122478807
20251128,FSLR,272.1311675211504,272.21,0.3,20251212,254.8
20251128,AMTM,29.304540483484388,29.33,0.31,20251212,29.72
20251128,BIIB,181.7608631609022,181.94,0.21,20251212,174.1
20251128,GOOGL,319.5041110061745,319.95,0.22,20251212,309.29
20251128,WELL,205.95890263646606,206.25,0.33,20251212,186.73
20251128,IBM,302.715533245504,303.21,0.27,20251212,309.24
20251128,MD,24.395400073014713,24.45,0.31,20251212,22.5
20251128,MU,229.72811082363773,230.26,0.29,20251212,241.045831875987
20251128,TXG,18.676688862081555,18.75,0.07,20251212,15.46
20251128,TX,36.40354772146474,36.56,,20251212,38.17
20251128,ASML,1033.6454258265742,1040.97,0.16,20251212,1080.85
20251128,CVE,17.434838177171788,17.56,0.36,20251212,17.8827179753058
20251128,HLF,13.216996793701686,13.34,0.36,20251212,14.74
20251128,ERIE,288.7419713972794,294.24,0.0,20251212,287.33
20251128,TSLA,417.6152844399295,426.58,0.14,20251212,458.96
20251208,W,110.89815717210837,95.21,,20251222,103.64
20251208,ENOV,30.817226234504215,27.02,,20251222,27.2
20251208,VCEL,40.68495896890525,36.23,,20251222,37.37
20251208,HQY,105.64471286170061,94.51,,20251222,93.78
20251208,BABA,175.32452500753956,158.32,,20251222,150.96
20251208,CDE,17.38012007745909,15.86,0.25,20251222,18.89
20251208,HRTG,29.247848050030953,26.73,,20251222,29.61
20251208,ZTS,129.48211623625022,118.65,0.21,20251222,123.78
20251208,PACS,33.44864938651767,30.76,0.2,20251222,36.88
20251208,MD,24.046442754876907,22.12,,20251222,22.0
20251208,KOP,30.370290074760717,28.01,,20251222,27.27
20251208,KRO,5.121532515356899,4.73,,20251222,4.6
20251208,AII,21.258402088855732,19.79,,20251222,21.06
20251208,CON,20.801405295154044,19.47,,20251222,19.68
20251208,BMRN,56.99040419993334,53.4,,20251222,59.28
20251208,DDOG,161.5713125188489,151.41,0.1,20251222,141.84
20251208,CVS,80.7010961730766,75.63,0.26,20251222,78.36
20251208,CVS,80.7010961730766,75.63,0.26,20251222,78.36
20251208,KO,74.6871303233282,70.0,0.22,20251222,70.21
20251208,KO,74.6871303233282,70.0,0.22,20251222,70.21
20251208,CVX,159.36439790638244,150.0,0.24,20251222,149.8
20251208,CLS,345.32378192409647,325.09,,20251222,306.86
20251208,RCI,39.78231464579927,37.5,,20251222,36.76
20251208,INSW,54.19554284852621,51.13,0.17,20251222,48.76
20251208,FSLR,272.8193888985889,257.61,0.24,20251222,284.59
20251208,UHS,243.6864403739623,231.08,0.2,20251222,226.64
20251208,TXG,18.73484841510452,17.77,,20251222,16.94
20251208,CHA,15.36085006587197,14.58,,20251222,12.35
20251208,SPB,59.8432397898446,57.19,,20251222,60.45
20251208,SBUX,88.95092181076491,85.12,0.12,20251222,86.17
20251208,MATV,12.613003206298313,12.08,,20251222,12.53
20251208,DDI,9.59496254027714,9.215,0.0,20251222,8.33
20251208,ITGR,72.56894779447946,69.84,,20251222,79.23
20251208,AHCO,9.771347042110444,9.42,0.03,20251222,10.29
20251208,IMCR,40.219614768019554,38.78,,20251222,35.98
20251208,ZBH,97.70036380374914,94.28,0.12,20251222,89.5632428869603
20251208,TBLA,4.092883128839225,3.95,,20251222,4.11
20251208,PEP,150.0985272852812,145.02,0.18,20251222,147.05
20251208,HLF,12.625708004634848,12.2,,20251222,13.65
20251208,ARCO,7.667605514198187,7.41,0.05,20251222,7.14
20251208,SLGN,39.97005349121443,38.69,,20251222,40.97
20251208,ATR,125.87512658529229,121.91,,20251222,122.74
20251208,PAR,35.431757194330245,34.33,,20251222,37.41
20251208,AVGO,402.684239694608,390.24,0.26,20251222,341.45
20251208,AHL,37.9808910572848,37.0,,20251222,37.06
20251208,AMZN,235.0546188949382,229.53,0.29,20251222,228.43
20251208,ARDT,8.98981095538166,8.79,0.02,20251222,8.82
20251208,TWLO,129.9461288709703,127.32,,20251222,141.95
20251208,WELL,207.86847462738686,204.31,0.29,20251222,186.43
20251208,CWT,45.60404350724591,44.88,0.45,20251222,43.28
20251208,CWT,45.60404350724591,44.88,0.45,20251222,43.28
20251208,XOM,118.19831839970794,116.54,0.21,20251222,118.15
20251208,LFST,6.561348232567737,6.48,,20251222,7.05
20251208,KNF,75.55716083871685,74.64,,20251222,73.32
20251208,SHOP,162.93461504579292,161.08,,20251222,169.67
20251208,AENT,6.815334677227346,6.74,,20251222,7.85
20251208,DAR,36.902631069348104,36.51,,20251222,34.72
20251208,CHMI,2.5018095347692895,2.48,,20251222,2.61735849056604
20251208,DHR,227.62108426850367,226.25,0.24,20251222,227.69364897676
20251208,IDYA,36.026738781924095,35.87,0.0,20251222,35.5
20251208,BIIB,181.90626204345963,181.3,0.29,20251222,174.7
20251208,SNDX,20.38716441008873,20.32,,20251222,21.48
20251208,IMXI,15.438172886144663,15.4,,20251222,15.39
20251208,AAPL,279.4288734305805,278.78,0.19,20251222,270.97
20251208,IBM,307.92081324105965,307.94,0.21,20251222,302.79
20251208,DVN,37.31275471817908,37.47,0.26,20251222,36.43
20251208,XPO,142.26122220282218,142.92,,20251222,141.28
20251208,AMRK,29.109990476341647,29.25,,20251222,
20251208,GOOGL,319.674137632736,321.27,0.23,20251222,309.78
20251208,MU,235.75731782035203,237.22,0.26,20251222,276.481988216717
20251208,ZM,86.92086855764194,87.65,,20251222,89.99
20251208,AMTM,28.626012364883096,28.88,,20251222,29.87
20251208,UPWK,19.818525737686702,20.08,,20251222,21.29
20251208,CTRA,26.997051475373404,27.39,0.24,20251222,25.52
20251208,QCOM,171.53710782368532,174.81,0.21,20251222,174.22
20251208,DXCM,64.12918675894034,65.49,0.03,20251222,67.43
20251208,UAL,102.61151822986936,104.95,0.26,20251222,116.02
20251208,HBM,17.077788606530056,17.48,0.05,20251222,19.72
20251208,SLVM,47.60404350724591,48.73,0.48,20251222,49.04
20251208,NRDS,15.045581974889286,15.43,,20251222,14.26
20251208,CVE,17.836074189298582,18.31,0.39,20251222,16.72
20251208,SPNT,20.92883128839225,21.49,,20251222,22.63
20251208,PRU,108.50091427120203,111.68,0.19,20251222,114.84
20251208,WMT,111.37570260789512,115.11,0.23,20251222,112.6
20251208,QUAD,5.843065030713799,6.04,,20251222,6.41
20251208,FANG,153.37464389454135,158.6,0.29,20251222,148.46
20251208,STZ,137.47537269249693,142.37,0.07,20251222,141.74
20251208,FLOC,17.269992857256234,18.0,,20251222,18.28
20251208,TX,36.803313518833036,38.43,,20251222,38.46
20251208,ASML,1047.7132810590308,1099.47,0.46,20251222,1056.98
20251208,NESR,14.046132442342184,14.87,,20251222,14.89
20251208,CVNA,375.8855498325423,399.77,,20251222,433.59
20251208,TSLA,420.26917830669356,455.0,0.12,20251222,488.73
20251208,MRVL,89.4205516579102,98.91,,20251222,84.8
20251208,CAL,11.933614307709401,13.33,0.0,20251222,13.2302621722846
20251208,ALK,43.59403160267297,49.65,,20251222,53.48
20251208,ERIE,248.42654707861783,296.46,,20251222,286.15
20251208,MDB,341.8405779273345,409.62,,20251222,439.68
20251208,VERA,34.61132918525102,44.9,,20251222,53.78
20251209,W,110.89815717210837,93.86,0.04,20251223,101.6
20251209,ENOV,30.817226234504215,26.73,0.17,20251223,26.31
20251209,HQY,105.64471286170061,92.09,0.32,20251223,92.69
20251209,KRO,5.121532515356899,4.5,0.0,20251223,4.56
20251209,CDE,17.38012007745909,15.31,0.38,20251223,19.09
20251209,CHA,15.36085006587197,13.73,,20251223,12.45
20251209,MD,24.046442754876907,21.575,,20251223,21.47
20251209,BABA,175.32452500753956,158.18,0.19,20251223,151.23
20251209,ZTS,129.48211623625022,118.195,0.12,20251223,123.54
20251209,VCEL,40.68495896890525,37.3,,20251223,37.38
20251209,RCI,39.78231464579927,36.54,0.04,20251223,36.99
20251209,AII,21.258402088855732,19.53,0.07,20251223,20.76
20251209,PACS,33.44864938651767,30.77,0.2,20251223,37.24
20251209,KOP,30.370290074760717,28.06,0.26,20251223,26.85
20251209,CON,20.801405295154044,19.29,0.19,20251223,19.73
20251209,UHS,243.6864403739623,226.12,0.21,20251223,227.27
20251209,TXG,18.73484841510452,17.47,,20251223,16.5
20251209,CVX,159.36439790638244,148.7,0.22,20251223,150.51
20251209,BMRN,56.99040419993334,53.3,0.06,20251223,61.14
20251209,HLF,12.625708004634848,11.815,0.19,20251223,13.73
20251209,MATV,12.613003206298313,11.81,0.13,20251223,12.27
20251209,SBUX,88.95092181076491,83.41,0.13,20251223,83.86
20251209,FSLR,272.8193888985889,255.88,0.24,20251223,269.39
20251209,KO,74.6871303233282,70.28,0.2,20251223,69.87
20251209,ARCO,7.667605514198187,7.22,0.04,20251223,7.34
20251209,HRTG,29.247848050030953,27.545,0.07,20251223,30.17
20251209,PAR,35.431757194330245,33.525,,20251223,37.09
20251209,IMCR,40.219614768019554,38.11,0.13,20251223,36.19
20251209,CVS,80.7010961730766,76.54,0.26,20251223,78.04
20251209,ZBH,97.70036380374914,92.76,0.14,20251223,89.1942183895419
20251209,SPB,59.8432397898446,56.89,0.34,20251223,59.68
20251209,INSW,54.19554284852621,51.635,0.17,20251223,47.87
20251209,ITGR,72.56894779447946,69.18,,20251223,77.77
20251209,ATR,125.87512658529229,120.05,,20251223,122.19
20251209,DDOG,161.5713125188489,154.28,0.12,20251223,141.23
20251209,CWT,45.60404350724591,43.56,0.36,20251223,43.05
20251209,ARDT,8.98981095538166,8.59,0.02,20251223,8.81
20251209,SLGN,39.97005349121443,38.39,,20251223,40.68
20251209,AHCO,9.771347042110444,9.39,0.03,20251223,10.11
20251209,AMZN,235.0546188949382,226.89,0.26,20251223,232.14
20251209,WELL,207.86847462738686,200.9,0.3,20251223,186.86
20251209,PEP,150.0985272852812,145.63,0.18,20251223,143.68
20251209,SHOP,162.93461504579292,158.41,,20251223,169.53
20251209,AHL,37.9808910572848,36.96,0.45,20251223,37.05
20251209,DDI,9.59496254027714,9.35,0.0,20251223,8.46
20251209,LFST,6.561348232567737,6.41,0.03,20251223,7.06
20251209,CHMI,2.5018095347692895,2.45,,20251223,2.66547169811321
20251209,SNDX,20.38716441008873,19.98,0.45,20251223,21.7
20251209,IDYA,36.026738781924095,35.34,0.0,20251223,35.41
20251209,DAR,36.902631069348104,36.2,0.18,20251223,34.83
20251209,XOM,118.19831839970794,115.99,0.22,20251223,119.42
20251209,GOOGL,319.674137632736,313.72,0.25,20251223,314.35
20251209,CTRA,26.997051475373404,26.58,0.23,20251223,25.98
20251209,CLS,345.32378192409647,340.53,0.36,20251223,303.46
20251209,DHR,227.62108426850367,224.5,0.24,20251223,230.509736385709
20251209,TBLA,4.092883128839225,4.05,0.0,20251223,4.16
20251209,KNF,75.55716083871685,74.77,0.42,20251223,73.76
20251209,XPO,142.26122220282218,140.82,0.3,20251223,140.09
20251209,BIIB,181.90626204345963,180.44,0.28,20251223,174.82
20251209,AAPL,279.4288734305805,277.89,0.16,20251223,272.36
20251209,IMXI,15.438172886144663,15.37,0.05,20251223,15.41
20251209,AVGO,402.684239694608,401.1,0.26,20251223,349.32
20251209,TWLO,129.9461288709703,130.13,,20251223,140.97
20251209,UPWK,19.818525737686702,19.88,0.42,20251223,20.82
20251209,IBM,307.92081324105965,309.38,0.27,20251223,303.78
20251209,AMRK,29.109990476341647,29.25,,20251223,
20251209,NRDS,15.045581974889286,15.13,,20251223,14.05
20251209,CVE,17.836074189298582,17.955,0.37,20251223,16.78
20251209,DVN,37.31275471817908,37.575,0.24,20251223,36.34
20251209,AMTM,28.626012364883096,28.84,,20251223,29.46
20251209,TX,36.803313518833036,37.22,0.0,20251223,38.47
20251209,SLVM,47.60404350724591,48.23,0.46,20251223,48.87
20251209,HBM,17.077788606530056,17.365,0.05,20251223,19.94
20251209,UAL,102.61151822986936,104.5,0.25,20251223,113.53
20251209,WMT,111.37570260789512,113.605,0.2,20251223,110.9
20251209,QCOM,171.53710782368532,175.31,0.21,20251223,174.75
20251209,DXCM,64.12918675894034,65.62,0.04,20251223,66.86
20251209,ZM,86.92086855764194,89.09,,20251223,87.16
20251209,NESR,14.046132442342184,14.41,,20251223,15.08
20251209,PRU,108.50091427120203,111.33,0.19,20251223,114.18
20251209,FANG,153.37464389454135,157.52,0.22,20251223,148.16
20251209,MRVL,89.4205516579102,92.0,,20251223,87.68
20251209,FLOC,17.269992857256234,17.835,,20251223,18.22
20251209,STZ,137.47537269249693,142.02,0.07,20251223,139.23
20251209,SPNT,20.92883128839225,21.63,,20251223,22.47
20251209,QUAD,5.843065030713799,6.085,,20251223,6.4
20251209,TSLA,420.26917830669356,439.58,0.1,20251223,485.56
20251209,MU,235.75731782035203,246.92,0.26,20251223,276.162113180637
20251209,ASML,1047.7132810590308,1119.69,0.42,20251223,1061.84
20251209,AENT,6.815334677227346,7.4,,20251223,7.85
20251209,ALK,43.59403160267297,49.2,0.0,20251223,51.18
20251209,ERIE,248.42654707861783,280.81,,20251223,283.78
20251209,CAL,11.933614307709401,13.52,0.03,20251223,12.8025168539326
20251209,CVNA,375.8855498325423,448.2,,20251223,437.35
20251209,MDB,341.8405779273345,418.71,0.04,20251223,437.13
20251209,VERA,34.61132918525102,45.03,0.04,20251223,53.91
20251210,W,110.89815717210837,94.22,0.04,20251224,100.71
20251210,ENOV,30.817226234504215,27.04,0.25,20251224,26.86
20251210,CHA,15.36085006587197,13.51,,20251224,12.21
20251210,MD,24.046442754876907,21.22,,20251224,21.78
20251210,HQY,105.64471286170061,93.26,0.31,20251224,92.45
20251210,BABA,175.32452500753956,155.96,0.26,20251224,150.06
20251210,ZTS,129.48211623625022,115.75,0.12,20251224,125.49
20251210,IMCR,40.219614768019554,36.64,0.19,20251224,36.57
20251210,KRO,5.121532515356899,4.67,0.0,20251224,4.59
20251210,INSW,54.19554284852621,49.52,0.21,20251224,48.01
20251210,KOP,30.370290074760717,27.79,0.26,20251224,27.25
20251210,ATR,125.87512658529229,115.72,,20251224,122.75
20251210,RCI,39.78231464579927,36.58,0.04,20251224,37.27
20251210,CDE,17.38012007745909,16.07,0.45,20251224,18.72
20251210,UHS,243.6864403739623,225.35,0.21,20251224,227.08
20251210,SBUX,88.95092181076491,82.28,0.13,20251224,84.57
20251210,CWT,45.60404350724591,42.31,0.33,20251224,43.29
20251210,FSLR,272.8193888985889,253.42,0.24,20251224,272.21
20251210,PACS,33.44864938651767,31.12,0.32,20251224,37.31
20251210,CVX,159.36439790638244,148.49,0.18,20251224,150.5
20251210,CON,20.801405295154044,19.4,0.19,20251224,19.85
20251210,AII,21.258402088855732,19.92,0.07,20251224,20.74
20251210,KO,74.6871303233282,70.09,0.2,20251224,70.11
20251210,WELL,207.86847462738686,195.8,0.34,20251224,187.7
20251210,BMRN,56.99040419993334,53.74,0.07,20251224,60.16
20251210,VCEL,40.68495896890525,38.38,,20251224,37.56
20251210,DDOG,161.5713125188489,152.57,0.12,20251224,138.04
20251210,ZBH,97.70036380374914,92.27,0.16,20251224,89.992109194771
20251210,IDYA,36.026738781924095,34.08,0.07,20251224,35.68
20251210,ARCO,7.667605514198187,7.28,0.05,20251224,7.33
20251210,TXG,18.73484841510452,17.84,,20251224,16.69
20251210,SLGN,39.97005349121443,38.14,0.46,20251224,40.83
20251210,ARDT,8.98981095538166,8.59,0.01,20251224,8.97
20251210,SNDX,20.38716441008873,19.51,0.42,20251224,21.6
20251210,DAR,36.902631069348104,35.43,0.28,20251224,35.45
20251210,PEP,150.0985272852812,144.64,0.19,20251224,143.74
20251210,HRTG,29.247848050030953,28.2,0.07,20251224,29.78
20251210,MATV,12.613003206298313,12.17,0.13,20251224,12.36
20251210,BIIB,181.90626204345963,175.84,0.27,20251224,176.33
20251210,CVS,80.7010961730766,78.24,0.32,20251224,79.12
20251210,AMZN,235.0546188949382,227.92,0.23,20251224,232.38
20251210,AHCO,9.771347042110444,9.49,0.03,20251224,10.24
20251210,DDI,9.59496254027714,9.32,0.0,20251224,8.32
20251210,SPB,59.8432397898446,58.26,0.35,20251224,59.84
20251210,AHL,37.9808910572848,37.0,0.44,20251224,37.05
20251210,DHR,227.62108426850367,223.23,0.28,20251224,231.148848421783
20251210,SHOP,162.93461504579292,159.89,,20251224,169.45
20251210,KNF,75.55716083871685,74.21,0.42,20251224,73.46
20251210,ITGR,72.56894779447946,71.6,,20251224,78.71
20251210,NRDS,15.045581974889286,14.85,,20251224,14.01
20251210,LFST,6.561348232567737,6.48,0.04,20251224,7.09
20251210,CLS,345.32378192409647,342.03,0.38,20251224,308.59
20251210,CHMI,2.5018095347692895,2.48,,20251224,2.65584905660377
20251210,GOOGL,319.674137632736,317.08,0.28,20251224,314.09
20251210,AAPL,279.4288734305805,277.18,0.16,20251224,273.81
20251210,MRVL,89.4205516579102,88.9,,20251224,86.49
20251210,CTRA,26.997051475373404,26.86,0.2,20251224,25.69
20251210,CVE,17.836074189298582,17.75,0.36,20251224,16.73
20251210,HLF,12.625708004634848,12.57,0.16,20251224,14.18
20251210,IMXI,15.438172886144663,15.4,0.12,20251224,15.385
20251210,TWLO,129.9461288709703,129.65,,20251224,140.31
20251210,XOM,118.19831839970794,118.25,0.28,20251224,119.22
20251210,DVN,37.31275471817908,37.4,0.25,20251224,36.2
20251210,PAR,35.431757194330245,35.54,0.03,20251224,37.22
20251210,XPO,142.26122220282218,142.74,0.18,20251224,141.14
20251210,AMTM,28.626012364883096,28.84,0.47,20251224,29.91
20251210,ZM,86.92086855764194,87.63,,20251224,87.79
20251210,IBM,307.92081324105965,310.48,0.28,20251224,304.56
20251210,AVGO,402.684239694608,406.29,0.25,20251224,350.22
20251210,SLVM,47.60404350724591,48.06,0.42,20251224,48.96
20251210,TX,36.803313518833036,37.26,0.0,20251224,38.16
20251210,SPNT,20.92883128839225,21.31,0.48,20251224,22.66
20251210,TBLA,4.092883128839225,4.18,0.15,20251224,4.32
20251210,QCOM,171.53710782368532,176.0,0.2,20251224,174.77
20251210,HBM,17.077788606530056,17.57,0.24,20251224,19.86
20251210,PRU,108.50091427120203,111.68,0.2,20251224,114.55
20251210,UAL,102.61151822986936,105.7,0.22,20251224,114.81
20251210,FANG,153.37464389454135,158.17,0.23,20251224,146.91
20251210,WMT,111.37570260789512,115.06,0.18,20251224,111.61
20251210,FLOC,17.269992857256234,17.85,,20251224,18.02
20251210,DXCM,64.12918675894034,66.33,0.04,20251224,67.42
20251210,STZ,137.47537269249693,143.37,0.09,20251224,140.49
20251210,QUAD,5.843065030713799,6.15,,20251224,6.43
20251210,NESR,14.046132442342184,14.84,,20251224,15.07
20251210,UPWK,19.818525737686702,20.98,0.41,20251224,20.97
20251210,TSLA,420.26917830669356,445.17,0.09,20251224,485.4
20251210,ASML,1047.7132810590308,1111.44,0.42,20251224,1065.52
20251210,CAL,11.933614307709401,12.74,0.05,20251224,13.0810486891386
20251210,MU,235.75731782035203,252.42,0.27,20251224,286.568047948113
20251210,ERIE,248.42654707861783,277.4,,20251224,284.0
20251210,ALK,43.59403160267297,49.54,0.1,20251224,51.38
20251210,AENT,6.815334677227346,8.04,,20251224,7.935
20251210,MDB,341.8405779273345,414.06,0.03,20251224,435.51
20251210,CVNA,375.8855498325423,456.33,,20251224,441.57
20251210,VERA,34.61132918525102,44.66,0.05,20251224,55.67
20251210,AMRK,29.109990476341647,,,20251224,
20251211,IMCR,37.447342740591424,36.03,0.27,20251225,
20251211,UHS,230.59636640688242,222.85,0.19,20251225,
20251211,DDI,9.6046557991143,9.3,0.0,20251225,
20251211,CHA,13.926247757972096,13.49,0.0,20251225,
20251211,ARDT,8.805639037475595,8.54,0.01,20251225,
20251211,AENT,8.11423136140696,7.87,,20251225,
20251211,TBLA,4.189815717210838,4.07,0.14,20251225,
20251211,NRDS,15.194195012777575,14.76,,20251225,
20251211,UPWK,21.020489833494707,20.48,0.4,20251225,
20251211,WELL,196.05032364565642,191.07,0.33,20251225,
20251211,AHL,37.943928747162744,37.03,0.44,20251225,
20251211,CLDX,28.858386612910905,28.19,0.46,20251225,
20251211,DBRG,15.14748305582451,14.8,0.02,20251225,
20251211,DAR,35.75882652656307,34.97,0.33,20251225,
20251211,VERA,45.186674576594015,44.34,0.07,20251225,
20251211,CRNX,48.83341335851812,48.06,0.22,20251225,
20251211,BA,201.87149799209539,198.72,0.26,20251225,
20251211,CDE,16.21692901699973,15.97,0.45,20251225,
20251211,TXG,17.794602307899876,17.53,,20251225,
20251211,WMT,114.73927282900272,113.18,0.18,20251225,
20251211,IMXI,15.556452278535263,15.37,0.13,20251225,
20251211,LNTH,61.495016031491566,60.82,0.04,20251225,
20251211,FI,67.25138624783733,66.57,0.11,20251225,
20251211,MD,21.598093006460214,21.38,,20251225,
20251211,XOM,120.31256253868986,119.54,0.28,20251225,
20251211,PACS,31.228893112807732,31.12,0.37,20251225,
20251211,CON,19.676987270043334,19.61,0.24,20251225,
20251211,CCJ,94.02746877033698,93.76,0.36,20251225,
20251211,UTL,48.37618831447119,48.25,,20251225,
20251211,NESR,14.918525737686702,14.94,,20251225,
20251211,UTZ,9.759566038634308,9.78,,20251225,
20251211,AAPL,278.19433227250363,278.78,0.16,20251225,
20251211,ZM,87.77876946397676,88.05,,20251225,
20251211,HAL,28.9398402406311,29.04,0.28,20251225,
20251211,CVS,78.64612529959842,78.97,0.3,20251225,
20251211,SLP,19.704291995365157,19.8,0.21,20251225,
20251211,ZBH,92.61140291423945,93.09,0.13,20251225,
20251211,PRCT,35.52452738845415,35.71,0.02,20251225,
20251211,QUAD,6.240488643037413,6.28,,20251225,
